Year	Count	AmountDue
1989	0020	000002337.48
1990	0037	000003073.34
1991	0059	000003895.62
1992	0065	000004872.65
1993	0052	000004453.00
1994	0048	000004659.35
1995	0047	000003845.02
1996	0055	000008075.38
1997	0074	000011777.19
1998	0084	000013156.19
1999	0104	000016669.41
2000	0640	000085664.58
2001	0661	000090081.43
2002	0718	000113763.04
2003	0875	000149435.65
2004	0934	000178613.87
2005	1095	000228080.80
2006	1228	000258671.40
2007	1728	000295909.85
2008	1824	000380840.95
2009	2296	000469308.37
2010	9332	001352561.18
2011	10270	001414854.48
2012	11235	001341063.55
2013	12541	001602269.83
2014	13945	001856659.78
2015	15362	002059027.87
2016	17967	002812799.15
2017	20533	003621229.12
2018	27460	005494636.61
2019	1707755	026221608.97
ALL	1859044	050103895.11
